title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross,year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
The Legend of Hercules,The Legend of Hercules,2014-01-01,99.0,"Action,Adventure,Fantasy",4.2,50352,LG/S,18800000.0,2014-01-01,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Baggage Claim,Baggage Claim,2013-01-01,96.0,Comedy,5.1,8296,FoxS,21600000.0,2013-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moneyball,Moneyball,2011-01-01,133.0,"Biography,Drama,Sport",7.6,326657,Sony,75600000.0,2011-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hereafter,Hereafter,2010-01-01,129.0,"Drama,Fantasy,Romance",6.5,87288,WB,32700000.0,2010-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,2011-01-01,132.0,"Action,Adventure,Thriller",7.4,428142,Par.,209400000.0,2011-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21 Jump Street,21 Jump Street,2012-01-01,109.0,"Action,Comedy,Crime",7.2,477771,Sony,138400000.0,2012-01-01,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloha,Aloha,2015-01-01,105.0,"Comedy,Drama,Romance",5.4,54646,Sony,21100000.0,2015-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sex and the City 2,Sex and the City 2,2010-01-01,146.0,"Comedy,Drama,Romance",4.4,69199,WB (NL),95300000.0,2010-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Don't Be Afraid of the Dark,Don't Be Afraid of the Dark,2010-01-01,99.0,"Fantasy,Horror,Thriller",5.6,44490,FD,24000000.0,2011-01-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Burke and Hare,Burke and Hare,2010-01-01,91.0,"Comedy,Crime,History",6.2,18431,IFC,4800.0,2011-01-01,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Going the Distance,Going the Distance,2010-01-01,102.0,"Comedy,Romance",6.3,54421,WB (NL),17800000.0,2010-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Remember Me,Remember Me,2010-01-01,113.0,"Drama,Romance",7.1,129443,Sum.,19100000.0,2010-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Remember Me,Remember Me,2016-01-01,85.0,Comedy,5.2,72,Sum.,19100000.0,2010-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horrible Bosses,Horrible Bosses,2011-01-01,98.0,"Comedy,Crime",6.9,398695,WB (NL),117500000.0,2011-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain Phillips,Captain Phillips,2013-01-01,134.0,"Biography,Drama,Thriller",7.8,387402,Sony,107100000.0,2013-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Another Earth,Another Earth,2011-01-01,92.0,"Drama,Romance,Sci-Fi",7.0,85839,FoxS,1300000.0,2011-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
The Last Godfather,The Last Godfather,2010-01-01,100.0,"Comedy,Crime,Romance",3.7,1071,RAtt.,164000.0,2011-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zoolander 2,Zoolander 2,2016-01-01,101.0,Comedy,4.7,59914,Par.,28800000.0,2016-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chasing Mavericks,Chasing Mavericks,2012-01-01,116.0,"Biography,Drama,Sport",7.2,28994,Fox,6000000.0,2012-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jumping the Broom,Jumping the Broom,2011-01-01,112.0,"Comedy,Drama",5.7,9089,TriS,37300000.0,2011-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental,Mental,2012-01-01,116.0,"Comedy,Drama",6.2,4670,Da.,17700.0,2013-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental,Mental,2014-01-01,107.3058943089431,"Action,Comedy,Drama",6.4,5,Da.,17700.0,2013-01-01,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Week with Marilyn,My Week with Marilyn,2011-01-01,99.0,"Biography,Drama",7.0,79337,Wein.,14600000.0,2011-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Universal Soldier: Day of Reckoning,Universal Soldier: Day of Reckoning,2012-01-01,114.0,"Action,Horror,Mystery",5.1,18206,Magn.,5500.0,2012-01-01,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Polisse,Polisse,2011-01-01,127.0,"Crime,Drama",7.3,12506,IFC,211000.0,2012-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Revenant,The Revenant,2015-01-01,156.0,"Action,Adventure,Biography",8.0,621193,Fox,183600000.0,2015-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Revenant,The Revenant,2012-01-01,80.0,Horror,6.0,20,Fox,183600000.0,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
360,360,2011-01-01,110.0,"Drama,Thriller",6.2,15096,Magn.,100000.0,2012-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ek Main Aur Ekk Tu,Ek Main Aur Ekk Tu,2012-01-01,110.0,"Comedy,Drama,Romance",5.8,5997,UTV,1200000.0,2012-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Spectacular Now,The Spectacular Now,2013-01-01,95.0,"Comedy,Drama,Romance",7.1,133887,A24,6900000.0,2013-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hara-Kiri: Death of a Samurai,Ichimei,2011-01-01,128.0,Drama,7.4,6636,Trib.,75700.0,2012-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bol Bachchan,Bol Bachchan,2012-01-01,155.0,"Action,Comedy,Drama",5.5,7359,FIP,1200000.0,2012-01-01,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
People Like Us,People Like Us,2010-01-01,55.0,Drama,6.4,13,BV,12400000.0,2012-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
People Like Us,People Like Us,2012-01-01,114.0,"Comedy,Drama",7.1,39618,BV,12400000.0,2012-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Guardians,The Guardians,2010-01-01,88.0,"Comedy,Family",7.8,68,MBox,177000.0,2018-01-01,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Guardians,The Guardians,2017-01-01,46.0,"Action,Adventure,Comedy",4.1,7,MBox,177000.0,2018-01-01,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Guardians,Les Gardiennes,2017-01-01,138.0,"Drama,War",6.8,1314,MBox,177000.0,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Machete,Machete,2010-01-01,105.0,"Action,Crime,Thriller",6.6,182320,Fox,26600000.0,2010-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Little Prince,The Little Prince,2019-01-01,93.0,Action,8.3,6,EOne,1300000.0,2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Little Prince,The Little Prince,2015-01-01,107.3058943089431,Documentary,7.8,6,EOne,1300000.0,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Little Prince,Le Petit Prince,2015-01-01,108.0,"Adventure,Animation,Drama",7.7,50015,EOne,1300000.0,2016-01-01,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time Freak,Time Freak,2018-01-01,104.0,"Comedy,Drama,Romance",5.7,3455,Grindstone,10000.0,2018-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Genius,Genius,2012-01-01,107.3058943089431,Drama,5.4,14,RAtt.,1400000.0,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genius,Genius,2018-01-01,165.0,"Action,Thriller",4.7,747,RAtt.,1400000.0,2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Genius,Genius,2016-01-01,104.0,"Biography,Drama",6.6,15611,RAtt.,1400000.0,2016-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genius,Genius,2018-01-01,107.3058943089431,Drama,6.2,53,RAtt.,1400000.0,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kedarnath,Kedarnath,2018-01-01,116.0,"Drama,Romance",6.0,4189,PackYourBag,901000.0,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I Can Speak,Ai kaen seupikeu,2017-01-01,119.0,"Comedy,Drama",7.4,1105,CJ,63200.0,2017-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Last Night,Last Night,2017-01-01,104.0,Drama,6.8,110,Trib.,99000.0,2011-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Last Night,Last Night,2010-01-01,93.0,"Drama,Romance",6.6,44728,Trib.,99000.0,2011-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Last Night,Last Night,2014-01-01,93.0,"Comedy,Drama,Romance",7.3,51,Trib.,99000.0,2011-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Last Night,A Noite da Virada,2014-01-01,90.0,Comedy,4.5,161,Trib.,99000.0,2011-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhadhun,Andhadhun,2018-01-01,139.0,"Crime,Thriller",8.5,43409,Eros,1200000.0,2018-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eat Pray Love,Eat Pray Love,2010-01-01,133.0,"Drama,Romance",5.8,77709,Sony,80600000.0,2010-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Letters to Juliet,Letters to Juliet,2010-01-01,105.0,"Adventure,Comedy,Drama",6.6,86137,Sum.,53000000.0,2010-01-01,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shanghai,Shanghai,2010-01-01,105.0,"Crime,Drama,Mystery",6.4,8662,Wein.,46400.0,2015-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Shanghai,Shanghai,2012-01-01,120.0,"Crime,Mystery,Thriller",7.2,9047,Wein.,46400.0,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Iron Man 2,Iron Man 2,2010-01-01,124.0,"Action,Adventure,Sci-Fi",7.0,657690,Par.,312400000.0,2010-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Collide,Collide,2010-01-01,107.3058943089431,Action,5.5,12,ORF,2300000.0,2017-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collide,Collide,2016-01-01,99.0,"Action,Crime,Thriller",5.7,13288,ORF,2300000.0,2017-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Main Street,Main Street,2010-01-01,92.0,Drama,4.7,2397,Magn.,2600.0,2011-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Little Bit of Heaven,A Little Bit of Heaven,2011-01-01,106.0,"Comedy,Drama,Fantasy",6.3,26441,MNE,15400.0,2012-01-01,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Central Intelligence,Central Intelligence,2016-01-01,107.0,"Action,Comedy,Crime",6.3,138872,WB (NL),127400000.0,2016-01-01,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Saw the Light,I Saw the Light,2015-01-01,123.0,"Biography,Drama,Music",5.8,5658,SPC,1600000.0,2016-01-01,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shaolin,Xin Shao Lin si,2011-01-01,131.0,"Action,Drama",6.9,17777,Vari.,66100.0,2011-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beast,Beast,2011-01-01,83.0,"Drama,Thriller",5.8,502,RAtt.,800000.0,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Beast,Beast,2017-01-01,107.0,"Crime,Drama,Mystery",6.8,7174,RAtt.,800000.0,2018-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Beast,Beast,2018-01-01,60.0,"Drama,Mystery",5.7,13,RAtt.,800000.0,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Beast,Beast,2015-01-01,94.0,"Crime,Drama,Thriller",7.4,45,RAtt.,800000.0,2018-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Commuter,The Commuter,2018-01-01,105.0,"Action,Mystery,Thriller",6.3,83114,LGF,36300000.0,2018-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Salinger,Salinger,2013-01-01,120.0,Documentary,6.7,2314,Wein.,584000.0,2013-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Grey,The Grey,2011-01-01,117.0,"Action,Adventure,Drama",6.8,228798,ORF,51600000.0,2012-01-01,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Woman in the Fifth,La femme du Vème,2011-01-01,84.0,"Drama,Mystery,Thriller",5.4,5581,ATO,114000.0,2012-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,2012-01-01,105.0,"Action,Fantasy,Horror",5.9,142853,Fox,37500000.0,2012-01-01,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Last Witch Hunter,The Last Witch Hunter,2015-01-01,106.0,"Action,Adventure,Fantasy",6.0,86118,LG/S,27400000.0,2015-01-01,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Armstrong Lie,The Armstrong Lie,2013-01-01,124.0,"Biography,Documentary,Sport",7.3,6850,SPC,383000.0,2013-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lights Out,Simon Werner a disparu...,2010-01-01,87.0,"Drama,Mystery,Thriller",6.4,971,WB (NL),67300000.0,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Lights Out,Lights Out,2010-01-01,107.3058943089431,Drama,6.6,10,WB (NL),67300000.0,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lights Out,Lights Out,2016-01-01,81.0,"Drama,Horror,Mystery",6.3,100650,WB (NL),67300000.0,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Lights Out,Lights Out,2013-01-01,107.3058943089431,Drama,8.6,22,WB (NL),67300000.0,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tezz,Tezz,2012-01-01,121.0,"Action,Crime,Thriller",3.9,1951,Eros,230000.0,2012-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Whale,The Whale,2011-01-01,85.0,Documentary,8.1,608,Pala.,81900.0,2011-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We Are Family,Moya bezumnaya semya,2012-01-01,100.0,Comedy,5.0,259,UTV,638000.0,2010-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We Are Family,Wo men quan jia bu tai shu,2015-01-01,107.3058943089431,"Comedy,Drama,Family",4.9,26,UTV,638000.0,2010-01-01,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
We Are Family,C'est quoi cette famille?!,2016-01-01,99.0,Comedy,6.1,712,UTV,638000.0,2010-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We Are Family,We Are Family,2017-01-01,107.3058943089431,"Comedy,Drama",2.6,30,UTV,638000.0,2010-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We Are Family,We Are Family,2010-01-01,115.0,"Drama,Family",5.6,2614,UTV,638000.0,2010-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anna,Anna,2013-01-01,99.0,"Drama,Mystery,Sci-Fi",6.5,19733,VE,4300.0,2014-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Anna,Anna,2017-01-01,97.0,Horror,2.4,341,VE,4300.0,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Anna,Anna,2016-01-01,142.0,Biography,5.0,37,VE,4300.0,2014-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anna,Anna,2015-01-01,96.0,Drama,6.8,106,VE,4300.0,2014-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anna,Per amor vostro,2015-01-01,110.0,Drama,6.3,285,VE,4300.0,2014-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anna,Anna,2015-01-01,109.0,"Crime,Drama,Thriller",5.6,88,VE,4300.0,2014-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nerve,Nerve,2011-01-01,83.0,"Comedy,Drama",6.8,88,LGF,38600000.0,2016-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nerve,Nerve,2013-01-01,86.0,"Drama,Mystery,Thriller",4.6,118,LGF,38600000.0,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Nerve,Nerve,2016-01-01,96.0,"Action,Adventure,Crime",6.5,102782,LGF,38600000.0,2016-01-01,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nerve,Nerve,2015-01-01,62.0,"Documentary,History",6.2,6,LGF,38600000.0,2016-01-01,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Resident Evil: Retribution,Resident Evil: Retribution,2012-01-01,95.0,"Action,Horror,Sci-Fi",5.4,125191,SGem,42300000.0,2012-01-01,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Lincoln,Lincoln,2012-01-01,150.0,"Biography,Drama,History",7.4,228701,BV,182200000.0,2012-01-01,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
High-Rise,High-Rise,2015-01-01,119.0,"Drama,Horror,Sci-Fi",5.6,33746,Magn.,346000.0,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Croods,The Croods,2013-01-01,98.0,"Action,Adventure,Animation",7.2,176699,Fox,187200000.0,2013-01-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bounty Hunter,The Bounty Hunter,2010-01-01,110.0,"Action,Comedy,Romance",5.6,112444,Sony,67099999.0,2010-01-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Holy Rollers,Holy Rollers,2010-01-01,89.0,"Biography,Crime,Drama",5.9,4664,FInd.,303000.0,2010-01-01,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freakonomics,Freakonomics,2010-01-01,93.0,Documentary,6.4,6466,Magn.,101000.0,2010-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Karate Kid,The Karate Kid,2010-01-01,140.0,"Action,Drama,Family",6.2,146401,Sony,176600000.0,2010-01-01,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,2010-01-01,97.0,"Action,Adventure,Animation",7.0,73790,WB,55700000.0,2010-01-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,2013-01-01,119.0,Comedy,6.3,156116,Par.,125200000.0,2013-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellflower,Bellflower,2011-01-01,106.0,"Action,Drama,Romance",6.4,7321,Osci.,168000.0,2011-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Expendables,The Expendables,2010-01-01,103.0,"Action,Adventure,Thriller",6.5,307897,LGF,103100000.0,2010-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Never Let Me Go,Never Let Me Go,2010-01-01,103.0,"Drama,Romance,Sci-Fi",7.1,130084,FoxS,2400000.0,2010-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,2016-01-01,108.0,"Action,Comedy,Horror",5.8,46187,SGem,10900000.0,2016-01-01,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Death of a Superhero,Death of a Superhero,2011-01-01,97.0,"Animation,Drama",7.1,3234,Trib.,600.0,2012-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Somewhat Gentle Man,En ganske snill mann,2010-01-01,113.0,"Comedy,Crime,Drama",6.9,6259,Strand,37700.0,2011-01-01,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You Again,You Again,2010-01-01,105.0,"Comedy,Family,Romance",5.8,46690,BV,25700000.0,2010-01-01,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Bridget Jones's Baby,Bridget Jones's Baby,2016-01-01,123.0,"Comedy,Drama,Romance",6.5,60260,Uni.,24300000.0,2016-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Raven,The Raven,2012-01-01,110.0,"Crime,Mystery,Thriller",6.4,79578,Rela.,16000000.0,2012-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,2011-01-01,129.0,"Action,Adventure,Crime",7.5,394189,WB,186800000.0,2011-01-01,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crazy, Stupid, Love.","Crazy, Stupid, Love.",2011-01-01,118.0,"Comedy,Drama,Romance",7.4,436830,WB,84400000.0,2011-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Goodbye First Love,Un amour de jeunesse,2011-01-01,110.0,"Drama,Romance",6.6,4352,IFC,95000.0,2012-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
North Sea Texas,"Noordzee, Texas",2011-01-01,98.0,"Drama,Romance",7.2,7476,Strand,28300.0,2012-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gone,Gone,2011-01-01,85.0,Documentary,6.5,104,LG/S,11700000.0,2012-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gone,Gone,2012-01-01,50.0,Drama,6.6,7,LG/S,11700000.0,2012-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gone,Gone,2012-01-01,94.0,"Action,Adventure,Drama",5.9,39482,LG/S,11700000.0,2012-01-01,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gone,Försvunnen,2011-01-01,95.0,Thriller,5.1,563,LG/S,11700000.0,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Terraferma,Terraferma,2011-01-01,88.0,Drama,6.8,2798,Cohen,20000.0,2013-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planes,Planes,2013-01-01,91.0,"Adventure,Animation,Comedy",5.7,39870,BV,90300000.0,2013-01-01,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Way,The Way,2010-01-01,107.0,Drama,7.0,7,PDA,4400000.0,2011-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Way,The Way,2010-01-01,123.0,"Adventure,Comedy,Drama",7.4,27811,PDA,4400000.0,2011-01-01,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Way,The Way,2016-01-01,85.0,Documentary,9.0,9,PDA,4400000.0,2011-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Inbetweeners Movie,The Inbetweeners Movie,2011-01-01,97.0,Comedy,6.8,73217,WHE,36000.0,2012-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clandestine Childhood,Infancia clandestina,2011-01-01,112.0,Drama,7.1,2152,IFC,9000.0,2013-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,Xin hai ge ming,2011-01-01,121.0,"Action,Adventure,Drama",5.9,5534,Vari.,136000.0,2011-01-01,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
