title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross,year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
The Perks of Being a Wallflower,The Perks of Being a Wallflower,2012-01-01,103.0,Drama,8.0,422671,LG/S,17700000.0,2012-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ice Age: Continental Drift,Ice Age: Continental Drift,2012-01-01,88.0,"Adventure,Animation,Comedy",6.6,175601,Fox,161300000.0,2012-01-01,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inferno,Giao lo dinh menh,2010-01-01,100.0,Thriller,6.3,50,Sony,34300000.0,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Inferno,Inferno,2016-01-01,121.0,"Action,Adventure,Crime",6.2,138978,Sony,34300000.0,2016-01-01,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inferno,Inferno,2014-01-01,113.0,Drama,6.3,183,Sony,34300000.0,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khodorkovsky,Khodorkovsky,2011-01-01,111.0,"Biography,Documentary,Drama",7.0,871,KL,39500.0,2011-01-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Like Crazy,Like Crazy,2011-01-01,86.0,"Drama,Romance",6.7,55841,ParV,3400000.0,2011-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Like Crazy,La pazza gioia,2016-01-01,116.0,"Comedy,Drama",7.2,7156,ParV,3400000.0,2011-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apollo 18,Apollo 18,2011-01-01,86.0,"Horror,Mystery,Sci-Fi",5.2,51427,W/Dim.,17700000.0,2011-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Yamla Pagla Deewana,Yamla Pagla Deewana,2011-01-01,163.0,"Action,Comedy,Drama",5.7,3660,Eros,993000.0,2011-01-01,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Step Up Revolution,Step Up Revolution,2012-01-01,99.0,"Drama,Music,Romance",6.5,51295,LG/S,35100000.0,2012-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
The Salt of Life,Gianni e le donne,2011-01-01,90.0,"Comedy,Romance",6.3,1593,Zeit.,317000.0,2012-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Admission,Admission,2013-01-01,107.0,"Comedy,Drama,Romance",5.7,31849,Focus,18000000.0,2013-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Divergent,Divergent,2014-01-01,139.0,"Action,Adventure,Mystery",6.7,399703,LG/S,150900000.0,2014-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Lady in the Van,The Lady in the Van,2015-01-01,104.0,"Biography,Comedy,Drama",6.7,23105,SPC,10000000.0,2015-01-01,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Wife,The Wife,2017-01-01,99.0,Drama,7.2,24955,SPC,9600000.0,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monster Hunt,Zhuo yao ji,2015-01-01,117.0,"Action,Adventure,Comedy",6.1,4158,FR,32800.0,2016-01-01,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Choice,The Choice,2016-01-01,111.0,"Drama,Romance",6.6,30117,LGF,18700000.0,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fidelio: Alice's Odyssey,"Fidelio, l'odyssée d'Alice",2014-01-01,97.0,"Drama,Romance",6.4,669,FRun,3600.0,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Shamitabh,Shamitabh,2015-01-01,155.0,Drama,6.8,6444,Eros,325000.0,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Space Between Us,The Space Between Us,2017-01-01,120.0,"Adventure,Drama,Romance",6.4,41031,STX,7900000.0,2017-01-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dheepan,Dheepan,2015-01-01,115.0,"Crime,Drama",7.2,12312,IFC,262000.0,2016-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Wall,The Wall,2017-01-01,88.0,"Action,Drama,Thriller",6.2,20391,RAtt.,1800000.0,2017-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Wall,Die Wand,2012-01-01,108.0,"Drama,Fantasy,Mystery",6.8,5484,RAtt.,1800000.0,2017-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
The Wall,The Wall,2010-01-01,78.0,Documentary,9.2,8,RAtt.,1800000.0,2017-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
